微信支付账单明细
微信昵称：[Demo User]
起始时间：[2026-01-01 00:00:00] 终止时间：[2026-03-31 23:59:59]
导出类型：[全部]
导出时间：[2026-04-01 10:00:00]

共150笔交易
收入：3笔 ¥15800.00
支出：140笔 ¥12560.50
中性：7笔 ¥2000.00

----------------------微信支付账单明细列表--------------------
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2026-01-02 08:15:22,商户消费,美团外卖,早餐-粥粉面,支出,¥18.50,零钱,支付成功,T20260102001,,
2026-01-02 12:30:10,商户消费,美团外卖,午餐-黄焖鸡米饭,支出,¥25.00,招商银行(1234),支付成功,T20260102002,,
2026-01-02 19:45:33,商户消费,饿了么,晚餐-麻辣烫,支出,¥32.00,零钱,支付成功,T20260102003,,
2026-01-03 07:50:00,商户消费,全家便利店,早餐+咖啡,支出,¥22.00,零钱,支付成功,T20260103001,,
2026-01-03 12:00:15,商户消费,公司食堂,午餐,支出,¥15.00,零钱,支付成功,T20260103002,,
2026-01-03 18:30:00,商户消费,盒马鲜生,买菜-蔬菜水果,支出,¥68.50,招商银行(1234),支付成功,T20260103003,,
2026-01-04 08:00:00,商户消费,瑞幸咖啡,生椰拿铁,支出,¥13.00,零钱,支付成功,T20260104001,,
2026-01-04 12:15:00,商户消费,美团外卖,午餐-炒饭,支出,¥22.00,零钱,支付成功,T20260104002,,
2026-01-05 09:00:00,商户消费,滴滴出行,快车-上班,支出,¥28.50,招商银行(1234),支付成功,T20260105001,,
2026-01-05 12:00:00,商户消费,美团外卖,午餐-沙拉,支出,¥35.00,零钱,支付成功,T20260105002,,
2026-01-05 18:00:00,商户消费,滴滴出行,快车-下班,支出,¥32.00,招商银行(1234),支付成功,T20260105003,,
2026-01-06 10:00:00,商户消费,中国移动,话费充值,支出,¥50.00,零钱,支付成功,T20260106001,,
2026-01-06 14:00:00,商户消费,星巴克,摩卡星冰乐,支出,¥38.00,零钱,支付成功,T20260106002,,
2026-01-07 11:00:00,商户消费,淘宝,运动鞋-Nike,支出,¥599.00,招商银行(1234),支付成功,T20260107001,,
2026-01-08 08:30:00,商户消费,地铁,充值,支出,¥100.00,零钱,支付成功,T20260108001,,
2026-01-10 20:00:00,商户消费,爱奇艺,月度会员,支出,¥25.00,零钱,支付成功,T20260110001,,
2026-01-10 15:00:00,转账,张三,转账,收入,¥5000.00,零钱,已存入零钱,T20260110002,,工资
2026-01-12 09:00:00,商户消费,叮咚买菜,蔬菜肉类,支出,¥95.00,招商银行(1234),支付成功,T20260112001,,
2026-01-13 18:30:00,商户消费,海底捞火锅,聚餐,支出,¥268.00,招商银行(1234),支付成功,T20260113001,,
2026-01-14 10:00:00,商户消费,大润发超市,日用品,支出,¥156.00,招商银行(1234),支付成功,T20260114001,,
2026-01-15 12:00:00,商户消费,美团外卖,午餐-寿司,支出,¥45.00,零钱,支付成功,T20260115001,,
2026-01-16 14:00:00,商户消费,京东,数据线+充电宝,支出,¥128.00,招商银行(1234),支付成功,T20260116001,,
2026-01-18 20:00:00,商户消费,Steam,游戏购买,支出,¥198.00,零钱,支付成功,T20260118001,,
2026-01-20 09:00:00,商户消费,医院挂号,门诊挂号费,支出,¥50.00,零钱,支付成功,T20260120001,,
2026-01-20 10:30:00,商户消费,药房,感冒药,支出,¥35.00,零钱,支付成功,T20260120002,,
2026-01-22 12:00:00,商户消费,美团外卖,午餐-盖饭,支出,¥28.00,零钱,支付成功,T20260122001,,
2026-01-25 10:00:00,转账,公司工资,1月工资,收入,¥8500.00,招商银行(1234),已存入零钱,T20260125001,,
2026-01-26 18:00:00,商户消费,美团外卖,晚餐-烤肉饭,支出,¥35.00,零钱,支付成功,T20260126001,,
2026-01-28 14:00:00,商户消费,优衣库,冬装外套,支出,¥399.00,招商银行(1234),支付成功,T20260128001,,
2026-01-30 19:00:00,商户消费,电影院,电影票x2,支出,¥76.00,零钱,支付成功,T20260130001,,
2026-02-01 08:00:00,商户消费,美团外卖,早餐-豆浆油条,支出,¥12.00,零钱,支付成功,T20260201001,,
2026-02-01 12:00:00,商户消费,公司食堂,午餐,支出,¥15.00,零钱,支付成功,T20260201002,,
2026-02-02 10:00:00,商户消费,滴滴出行,快车,支出,¥25.00,招商银行(1234),支付成功,T20260202001,,
2026-02-03 15:00:00,商户消费,瑞幸咖啡,美式咖啡,支出,¥9.90,零钱,支付成功,T20260203001,,
2026-02-05 18:00:00,商户消费,盒马鲜生,买菜-海鲜蔬菜,支出,¥120.00,招商银行(1234),支付成功,T20260205001,,
2026-02-06 12:00:00,商户消费,美团外卖,午餐-面条,支出,¥20.00,零钱,支付成功,T20260206001,,
2026-02-08 20:00:00,商户消费,bilibili,大会员季卡,支出,¥58.00,零钱,支付成功,T20260208001,,
2026-02-10 09:00:00,商户消费,叮咚买菜,蔬菜水果牛奶,支出,¥85.00,招商银行(1234),支付成功,T20260210001,,
2026-02-12 14:00:00,商户消费,拼多多,手机壳+贴膜,支出,¥29.90,零钱,支付成功,T20260212001,,
2026-02-14 19:00:00,商户消费,西贝莜面村,情人节晚餐,支出,¥358.00,招商银行(1234),支付成功,T20260214001,,
2026-02-15 10:00:00,商户消费,得到App,年度会员,支出,¥365.00,零钱,支付成功,T20260215001,,
2026-02-18 12:00:00,商户消费,美团外卖,午餐-麻辣香锅,支出,¥38.00,零钱,支付成功,T20260218001,,
2026-02-20 08:00:00,商户消费,地铁,充值,支出,¥100.00,零钱,支付成功,T20260220001,,
2026-02-22 16:00:00,商户消费,天猫,护肤品套装,支出,¥289.00,招商银行(1234),支付成功,T20260222001,,
2026-02-25 10:00:00,转账,公司工资,2月工资,收入,¥8500.00,招商银行(1234),已存入零钱,T20260225001,,
2026-02-26 12:00:00,商户消费,美团外卖,午餐-快餐,支出,¥22.00,零钱,支付成功,T20260226001,,
2026-02-28 18:00:00,商户消费,加油站,加油,支出,¥350.00,招商银行(1234),支付成功,T20260228001,,
2026-03-01 08:00:00,商户消费,全家便利店,早餐+牛奶,支出,¥18.00,零钱,支付成功,T20260301001,,
2026-03-02 12:00:00,商户消费,美团外卖,午餐-煲仔饭,支出,¥30.00,零钱,支付成功,T20260302001,,
2026-03-03 14:00:00,商户消费,星巴克,拿铁,支出,¥35.00,零钱,支付成功,T20260303001,,
2026-03-05 09:00:00,商户消费,滴滴出行,快车-上班,支出,¥30.00,招商银行(1234),支付成功,T20260305001,,
2026-03-06 18:00:00,商户消费,盒马鲜生,买菜,支出,¥78.00,招商银行(1234),支付成功,T20260306001,,
2026-03-08 12:00:00,商户消费,美团外卖,午餐-日料,支出,¥55.00,零钱,支付成功,T20260308001,,
2026-03-10 20:00:00,商户消费,猫眼电影,电影票,支出,¥42.00,零钱,支付成功,T20260310001,,
2026-03-12 10:00:00,商户消费,叮咚买菜,蔬菜肉蛋,支出,¥110.00,招商银行(1234),支付成功,T20260312001,,
2026-03-14 15:00:00,商户消费,京东,书-技术类x3,支出,¥156.00,招商银行(1234),支付成功,T20260314001,,
2026-03-15 12:00:00,商户消费,美团外卖,午餐-粤菜,支出,¥42.00,零钱,支付成功,T20260315001,,
2026-03-16 09:00:00,商户消费,中国联通,宽带续费,支出,¥99.00,零钱,支付成功,T20260316001,,
2026-03-18 18:00:00,商户消费,健身房,月卡,支出,¥299.00,零钱,支付成功,T20260318001,,
2026-03-20 12:00:00,商户消费,美团外卖,午餐-炸鸡,支出,¥35.00,零钱,支付成功,T20260320001,,
2026-03-22 14:00:00,商户消费,淘宝,春装T恤x2,支出,¥178.00,招商银行(1234),支付成功,T20260322001,,
2026-03-25 10:00:00,转账,公司工资,3月工资,收入,¥8500.00,招商银行(1234),已存入零钱,T20260325001,,
2026-03-26 19:00:00,商户消费,烧烤店,朋友聚餐,支出,¥185.00,零钱,支付成功,T20260326001,,
2026-03-28 12:00:00,商户消费,美团外卖,午餐-饺子,支出,¥26.00,零钱,支付成功,T20260328001,,
2026-03-30 10:00:00,商户消费,药房,维生素,支出,¥68.00,零钱,支付成功,T20260330001,,
2026-03-31 20:00:00,商户消费,Steam,游戏DLC,支出,¥68.00,零钱,支付成功,T20260331001,,
